# Force and moment coefficients
# dragDir       : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# rollAxis      : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# magUInf       : 2.49796991e+02
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e-03
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
37              	3.82175528e-02	1.91087764e-02	1.91087764e-02	4.00521379e-01	7.17830787e-02	3.28738300e-01	-1.28477611e-01	8.63458404e-21	-1.10572103e-19	1.28412993e-19	-4.63656068e-20	1.74778600e-19
38              	3.71668492e-02	1.85834246e-02	1.85834246e-02	4.06672344e-01	7.41525602e-02	3.32519784e-01	-1.29183612e-01	8.74869691e-21	-1.10727640e-19	1.27658674e-19	-4.68983031e-20	1.74556978e-19
39              	3.62160176e-02	1.81080088e-02	1.81080088e-02	4.12664676e-01	7.65238667e-02	3.36140809e-01	-1.29808471e-01	8.81669026e-21	-1.10943527e-19	1.26368266e-19	-4.77593939e-20	1.74127660e-19
40              	3.53726861e-02	1.76863430e-02	1.76863430e-02	4.18430630e-01	7.88742911e-02	3.39556339e-01	-1.30341024e-01	8.84083992e-21	-1.11214896e-19	1.24635766e-19	-4.88970130e-20	1.73532779e-19
41              	3.46420372e-02	1.73210186e-02	1.73210186e-02	4.23967390e-01	8.11925138e-02	3.42774876e-01	-1.30791181e-01	8.82490810e-21	-1.11531934e-19	1.22566967e-19	-5.02484498e-20	1.72815417e-19
42              	3.40244071e-02	1.70122035e-02	1.70122035e-02	4.29265001e-01	8.34688403e-02	3.45796160e-01	-1.31163660e-01	8.77418580e-21	-1.11885096e-19	1.20260053e-19	-5.17550702e-20	1.72015123e-19
43              	3.35175349e-02	1.67587674e-02	1.67587674e-02	4.34336499e-01	8.57007017e-02	3.48635797e-01	-1.31467548e-01	8.69480131e-21	-1.12264276e-19	1.17809186e-19	-5.33596834e-20	1.71168869e-19
44              	3.31165217e-02	1.65582608e-02	1.65582608e-02	4.39207069e-01	8.78885249e-02	3.51318544e-01	-1.31715009e-01	8.59343248e-21	-1.12656569e-19	1.15302069e-19	-5.50055344e-20	1.70307603e-19
45              	3.28126489e-02	1.64063244e-02	1.64063244e-02	4.43895881e-01	9.00325088e-02	3.53863372e-01	-1.31915432e-01	8.47708478e-21	-1.13049126e-19	1.12815773e-19	-5.66412392e-20	1.69457012e-19
46              	3.25973701e-02	1.62986851e-02	1.62986851e-02	4.48447031e-01	9.21386543e-02	3.56308376e-01	-1.32084861e-01	8.35250778e-21	-1.13428575e-19	1.10419849e-19	-5.82186509e-20	1.68638500e-19
