name,x_m,Cf_run,Cf_ref,abs_error,rel_error,within_tolerance
skin_friction_coefficient,1.166892e+00,2.581667e-03,2.621259e-03,3.959266e-05,1.510444e-02,true
skin_friction_coefficient,1.179054e+00,2.577600e-03,2.617430e-03,3.983043e-05,1.521738e-02,true
skin_friction_coefficient,1.191216e+00,2.573556e-03,2.613649e-03,4.009317e-05,1.533992e-02,true
skin_friction_coefficient,1.203378e+00,2.569578e-03,2.609913e-03,4.033560e-05,1.545476e-02,true
skin_friction_coefficient,1.215541e+00,2.565644e-03,2.606223e-03,4.057890e-05,1.557000e-02,true
skin_friction_coefficient,1.227703e+00,2.561778e-03,2.602581e-03,4.080339e-05,1.567805e-02,true
skin_friction_coefficient,1.239865e+00,2.557956e-03,2.598984e-03,4.102814e-05,1.578623e-02,true
skin_friction_coefficient,1.252027e+00,2.554200e-03,2.595429e-03,4.122862e-05,1.588509e-02,true
skin_friction_coefficient,1.264189e+00,2.550467e-03,2.591916e-03,4.144884e-05,1.599159e-02,true
skin_friction_coefficient,1.276351e+00,2.546800e-03,2.588443e-03,4.164319e-05,1.608812e-02,true
skin_friction_coefficient,1.288514e+00,2.543178e-03,2.585011e-03,4.183291e-05,1.618288e-02,true
skin_friction_coefficient,1.300676e+00,2.539578e-03,2.581617e-03,4.203966e-05,1.628423e-02,true
skin_friction_coefficient,1.312838e+00,2.536044e-03,2.578263e-03,4.221895e-05,1.637496e-02,true
skin_friction_coefficient,1.325000e+00,2.532533e-03,2.574950e-03,4.241713e-05,1.647299e-02,true
skin_friction_coefficient,1.337162e+00,2.529067e-03,2.571674e-03,4.260764e-05,1.656805e-02,true
skin_friction_coefficient,1.349324e+00,2.525667e-03,2.568435e-03,4.276789e-05,1.665134e-02,true
skin_friction_coefficient,1.361486e+00,2.522267e-03,2.565231e-03,4.296386e-05,1.674854e-02,true
skin_friction_coefficient,1.373649e+00,2.518956e-03,2.562061e-03,4.310552e-05,1.682455e-02,true
skin_friction_coefficient,1.385811e+00,2.515667e-03,2.558926e-03,4.325911e-05,1.690518e-02,true
skin_friction_coefficient,1.397973e+00,2.512422e-03,2.555824e-03,4.340219e-05,1.698168e-02,true
skin_friction_coefficient,1.410135e+00,2.509200e-03,2.552758e-03,4.355835e-05,1.706325e-02,true
skin_friction_coefficient,1.422297e+00,2.506044e-03,2.549726e-03,4.368117e-05,1.713171e-02,true
skin_friction_coefficient,1.434459e+00,2.502889e-03,2.546725e-03,4.383594e-05,1.721267e-02,true
skin_friction_coefficient,1.446622e+00,2.499778e-03,2.543755e-03,4.397767e-05,1.728848e-02,true
skin_friction_coefficient,1.458784e+00,2.496711e-03,2.540817e-03,4.410575e-05,1.735888e-02,true
skin_friction_coefficient,1.470946e+00,2.493667e-03,2.537908e-03,4.424177e-05,1.743237e-02,true
skin_friction_coefficient,1.483108e+00,2.490644e-03,2.535029e-03,4.438499e-05,1.750867e-02,true
skin_friction_coefficient,1.495270e+00,2.487689e-03,2.532180e-03,4.449123e-05,1.757033e-02,true
skin_friction_coefficient,1.507432e+00,2.484733e-03,2.529363e-03,4.462931e-05,1.764449e-02,true
skin_friction_coefficient,1.519595e+00,2.481844e-03,2.526573e-03,4.472862e-05,1.770328e-02,true
skin_friction_coefficient,1.531757e+00,2.478978e-03,2.523811e-03,4.483340e-05,1.776417e-02,true
skin_friction_coefficient,1.543919e+00,2.476133e-03,2.521077e-03,4.494364e-05,1.782716e-02,true
skin_friction_coefficient,1.556081e+00,2.473333e-03,2.518370e-03,4.503650e-05,1.788319e-02,true
skin_friction_coefficient,1.568243e+00,2.470556e-03,2.515689e-03,4.513362e-05,1.794086e-02,true
skin_friction_coefficient,1.580405e+00,2.467800e-03,2.513035e-03,4.523463e-05,1.800000e-02,true
