x_m,p_kinematic_m2_s2
3.855000e-01,5.515910e-02
3.865000e-01,5.467736e-02
3.875000e-01,5.419562e-02
3.885000e-01,5.371388e-02
3.895000e-01,5.323214e-02
3.905000e-01,5.275041e-02
3.915000e-01,5.226867e-02
3.925000e-01,5.178693e-02
3.935000e-01,5.130519e-02
3.945000e-01,5.082345e-02
3.955000e-01,5.034171e-02
3.965000e-01,4.985997e-02
3.975000e-01,4.937823e-02
3.985000e-01,4.889649e-02
3.995000e-01,4.841476e-02
4.005000e-01,4.793302e-02
4.015000e-01,4.745128e-02
4.025000e-01,4.696954e-02
4.035000e-01,4.648780e-02
4.045000e-01,4.600606e-02
4.055000e-01,4.552432e-02
4.065000e-01,4.504258e-02
4.075000e-01,4.456084e-02
4.085000e-01,4.407911e-02
4.095000e-01,4.359737e-02
4.105000e-01,4.311563e-02
4.115000e-01,4.263389e-02
4.125000e-01,4.215215e-02
4.135000e-01,4.167041e-02
4.145000e-01,4.118867e-02
4.155000e-01,4.070693e-02
4.165000e-01,4.022520e-02
4.175000e-01,3.974346e-02
4.185000e-01,3.926172e-02
4.195000e-01,3.877998e-02
4.205000e-01,3.829824e-02
4.215000e-01,3.781650e-02
4.225000e-01,3.733476e-02
4.235000e-01,3.685302e-02
4.245000e-01,3.637128e-02
4.255000e-01,3.588955e-02
4.265000e-01,3.540781e-02
4.275000e-01,3.492607e-02
4.285000e-01,3.444433e-02
4.295000e-01,3.396259e-02
4.305000e-01,3.348085e-02
4.315000e-01,3.299911e-02
4.325000e-01,3.251737e-02
4.335000e-01,3.203563e-02
4.345000e-01,3.155390e-02
4.355000e-01,3.107216e-02
4.365000e-01,3.059042e-02
4.375000e-01,3.010868e-02
4.385000e-01,2.962694e-02
4.395000e-01,2.914520e-02
4.405000e-01,2.866346e-02
4.415000e-01,2.818172e-02
4.425000e-01,2.769998e-02
4.435000e-01,2.721825e-02
4.445000e-01,2.673651e-02
4.455000e-01,2.625477e-02
4.465000e-01,2.577303e-02
4.475000e-01,2.529129e-02
4.485000e-01,2.480955e-02
4.495000e-01,2.432781e-02

"LINEAR FIT (cells at j=0 · axis-nearest row · x ∈ [0.05, 0.45])"
slope_fit_kin = -4.817389e-01 m²/s²/m
slope_analytical_kin = -4.800000e-01 m²/s²/m
delta_pct = 0.3623%
intercept_fit_kin = 2.408695e-01 m²/s²
n_points = 400
