# Force and moment coefficients
# dragDir       : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# rollAxis      : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2150            	2.38922231e-01	1.19456985e-01	1.19465246e-01	1.10150026e+00	5.22131202e-01	5.79369053e-01	-2.86189256e-02	-4.13046503e-06	-3.08713320e-05	-4.32357976e-05	-5.24892308e-05	9.25343319e-06
2200            	2.38927289e-01	1.19472749e-01	1.19454540e-01	1.10151411e+00	5.22148426e-01	5.79365684e-01	-2.86086292e-02	9.10438214e-06	1.42490677e-05	2.26846466e-05	2.55913910e-05	-2.90674436e-06
2250            	2.38910649e-01	1.19454961e-01	1.19455688e-01	1.10152437e+00	5.22166225e-01	5.79358142e-01	-2.85959583e-02	-3.63519893e-07	-1.89940198e-05	-2.57530038e-05	-3.18705217e-05	6.11751793e-06
2300            	2.38717183e-01	1.19353186e-01	1.19363998e-01	1.10140751e+00	5.22363472e-01	5.79044036e-01	-2.83402818e-02	-5.40603283e-06	-5.95284116e-06	-1.26261786e-05	-1.22659304e-05	-3.60248130e-07
2350            	2.38613189e-01	1.19295892e-01	1.19317297e-01	1.10377364e+00	5.24004667e-01	5.79768976e-01	-2.78821542e-02	-1.07028419e-05	2.12456627e-08	-8.68890568e-06	-4.32320718e-06	-4.36569850e-06
2400            	2.38626955e-01	1.19297612e-01	1.19329342e-01	1.10398229e+00	5.24049320e-01	5.79932968e-01	-2.79418236e-02	-1.58650502e-05	-1.69997855e-05	-3.32700032e-05	-3.36347871e-05	3.64783916e-07
2450            	2.38612103e-01	1.19300073e-01	1.19312030e-01	1.10400163e+00	5.24084472e-01	5.79917157e-01	-2.79163426e-02	-5.97893031e-06	1.59840100e-05	1.44717513e-05	2.32198856e-05	-8.74813430e-06
2500            	2.38630127e-01	1.19303888e-01	1.19326239e-01	1.10402706e+00	5.24072852e-01	5.79954206e-01	-2.79406771e-02	-1.11751215e-05	-1.09584651e-06	-9.92408508e-06	-6.05788905e-06	-3.86619603e-06
2550            	2.38628636e-01	1.19304959e-01	1.19323677e-01	1.10405342e+00	5.24100848e-01	5.79952577e-01	-2.79258647e-02	-9.35920942e-06	3.91984427e-06	-3.27811156e-06	2.28078849e-06	-5.55890005e-06
2600            	2.38612682e-01	1.19295517e-01	1.19317165e-01	1.10403155e+00	5.24108874e-01	5.79922681e-01	-2.79069033e-02	-1.08244089e-05	-1.15169058e-06	-1.10699446e-05	-6.68666288e-06	-4.38328171e-06
2650            	2.38650973e-01	1.19321363e-01	1.19329609e-01	1.10414307e+00	5.24129845e-01	5.80013229e-01	-2.79416922e-02	-4.12299353e-06	2.50388740e-05	2.68901283e-05	3.84839382e-05	-1.15938099e-05
2700            	2.38610445e-01	1.19293703e-01	1.19316743e-01	1.10402793e+00	5.24108357e-01	5.79919576e-01	-2.79056096e-02	-1.15200790e-05	-3.35832689e-06	-1.40580334e-05	-1.03873436e-05	-3.67068979e-06
2750            	2.38621298e-01	1.19299247e-01	1.19322051e-01	1.10403851e+00	5.24095880e-01	5.79942630e-01	-2.79233750e-02	-1.14020854e-05	-2.78657996e-06	-1.39366129e-05	-9.75488640e-06	-4.18172648e-06
2800            	2.38619871e-01	1.19299559e-01	1.19320312e-01	1.10406851e+00	5.24128248e-01	5.79940262e-01	-2.79060069e-02	-1.03763721e-05	-1.28046726e-06	-1.00733193e-05	-6.31712690e-06	-3.75619239e-06
2850            	2.38670113e-01	1.19320632e-01	1.19349481e-01	1.10419005e+00	5.24186590e-01	5.80003456e-01	-2.79084327e-02	-1.44244022e-05	-1.95582677e-05	-3.57031069e-05	-3.74098212e-05	1.70671428e-06
2900            	2.38230098e-01	1.19123996e-01	1.19106103e-01	1.10484128e+00	5.25177278e-01	5.79663999e-01	-2.72433607e-02	8.94648046e-06	1.62771964e-05	2.38898411e-05	2.82221169e-05	-4.33227584e-06
2950            	2.38379884e-01	1.19194211e-01	1.19185674e-01	1.10634325e+00	5.25814692e-01	5.80528556e-01	-2.73569319e-02	4.26844513e-06	-4.08818666e-06	-5.35135295e-06	-6.76386313e-06	1.41251018e-06
3000            	2.38372519e-01	1.19185276e-01	1.19187243e-01	1.10624567e+00	5.25788205e-01	5.80457465e-01	-2.73346299e-02	-9.83611447e-07	-2.21653803e-05	-3.12234786e-05	-3.77771196e-05	6.55364099e-06
3050            	2.38358893e-01	1.19189229e-01	1.19169664e-01	1.10615121e+00	5.25735224e-01	5.80415981e-01	-2.73403783e-02	9.78242524e-06	1.56350862e-05	2.34150796e-05	2.73426260e-05	-3.92754645e-06
3100            	2.38361701e-01	1.19185204e-01	1.19176497e-01	1.10629568e+00	5.25836365e-01	5.80459320e-01	-2.73114776e-02	4.35329207e-06	-4.14010882e-06	-4.93254526e-06	-6.60638145e-06	1.67383619e-06
3150            	2.38351903e-01	1.19174667e-01	1.19177236e-01	1.10614791e+00	5.25754006e-01	5.80393900e-01	-2.73199466e-02	-1.28416290e-06	-2.32366190e-05	-3.34818109e-05	-3.99775245e-05	6.49571360e-06
