# Region type : patch intake_duct
# Faces        : 7104
# Area         : 4.6974926e+00
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
3760           	-1.4092478e+00
3770           	-1.4092478e+00
3780           	-1.4092478e+00
3790           	-1.4092478e+00
3800           	-1.4092478e+00
3810           	-1.4092478e+00
3820           	-1.4092478e+00
3830           	-1.4092478e+00
3840           	-1.4092478e+00
3850           	-1.4092478e+00
3860           	-1.4092478e+00
3870           	-1.4092478e+00
3880           	-1.4092478e+00
3890           	-1.4092478e+00
3900           	-1.4092478e+00
3910           	-1.4092478e+00
3920           	-1.4092478e+00
3930           	-1.4092478e+00
3940           	-1.4092478e+00
3950           	-1.4092478e+00
3960           	-1.4092478e+00
3970           	-1.4092478e+00
3980           	-1.4092478e+00
3990           	-1.4092478e+00
4000           	-1.4092478e+00
4010           	-1.4092478e+00
4020           	-1.4092478e+00
4030           	-1.4092478e+00
4040           	-1.4092478e+00
4050           	-1.4092478e+00
4060           	-1.4092478e+00
4070           	-1.4092478e+00
4080           	-1.4092478e+00
4090           	-1.4092478e+00
4100           	-1.4092478e+00
4110           	-1.4092478e+00
4120           	-1.4092478e+00
4130           	-1.4092478e+00
4140           	-1.4092478e+00
4150           	-1.4092478e+00
4160           	-1.4092478e+00
4170           	-1.4092478e+00
4180           	-1.4092478e+00
4190           	-1.4092478e+00
4200           	-1.4092478e+00
4210           	-1.4092478e+00
4220           	-1.4092478e+00
4230           	-1.4092478e+00
4240           	-1.4092478e+00
4250           	-1.4092478e+00
4260           	-1.4092478e+00
4270           	-1.4092478e+00
4280           	-1.4092478e+00
4290           	-1.4092478e+00
4300           	-1.4092478e+00
4310           	-1.4092478e+00
4320           	-1.4092478e+00
4330           	-1.4092478e+00
4340           	-1.4092478e+00
4350           	-1.4092478e+00
4360           	-1.4092478e+00
4370           	-1.4092478e+00
4380           	-1.4092478e+00
4390           	-1.4092478e+00
4400           	-1.4092478e+00
4410           	-1.4092478e+00
4420           	-1.4092478e+00
4430           	-1.4092478e+00
4440           	-1.4092478e+00
4450           	-1.4092478e+00
4460           	-1.4092478e+00
4470           	-1.4092478e+00
4480           	-1.4092478e+00
4490           	-1.4092478e+00
4500           	-1.4092478e+00
4510           	-1.4092478e+00
4520           	-1.4092478e+00
4530           	-1.4092478e+00
4540           	-1.4092478e+00
4550           	-1.4092478e+00
4560           	-1.4092478e+00
4570           	-1.4092478e+00
4580           	-1.4092478e+00
4590           	-1.4092478e+00
4600           	-1.4092478e+00
4610           	-1.4092478e+00
4620           	-1.4092478e+00
4630           	-1.4092478e+00
4640           	-1.4092478e+00
4650           	-1.4092478e+00
4660           	-1.4092478e+00
4670           	-1.4092478e+00
4680           	-1.4092478e+00
4690           	-1.4092478e+00
4700           	-1.4092478e+00
4710           	-1.4092478e+00
4720           	-1.4092478e+00
4730           	-1.4092478e+00
4740           	-1.4092478e+00
4750           	-1.4092478e+00
4760           	-1.4092478e+00
4770           	-1.4092478e+00
4780           	-1.4092478e+00
4790           	-1.4092478e+00
4800           	-1.4092478e+00
4810           	-1.4092478e+00
4820           	-1.4092478e+00
4830           	-1.4092478e+00
4840           	-1.4092478e+00
4850           	-1.4092478e+00
4860           	-1.4092478e+00
4870           	-1.4092478e+00
4880           	-1.4092478e+00
4890           	-1.4092478e+00
4900           	-1.4092478e+00
4910           	-1.4092478e+00
4920           	-1.4092478e+00
4930           	-1.4092478e+00
4940           	-1.4092478e+00
4950           	-1.4092478e+00
4960           	-1.4092478e+00
4970           	-1.4092478e+00
4980           	-1.4092478e+00
4990           	-1.4092478e+00
5000           	-1.4092478e+00
