# Region type : patch farfield
# Faces         : 1280
# Area          : 4.29356266e-01
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(T)	areaAverage(U)
1311            	3.85287230e+04	2.88172926e+02	(2.49409011e+02 -7.54002883e-16 1.16636141e+01)
1312            	3.85286781e+04	2.88173411e+02	(2.49408890e+02 -7.54005019e-16 1.16639119e+01)
1313            	3.85286592e+04	2.88173859e+02	(2.49408923e+02 -7.54006684e-16 1.16642143e+01)
1314            	3.85286651e+04	2.88174289e+02	(2.49409116e+02 -7.54008881e-16 1.16645166e+01)
1315            	3.85286980e+04	2.88174722e+02	(2.49409482e+02 -7.54011094e-16 1.16648328e+01)
1316            	3.85287568e+04	2.88175130e+02	(2.49409984e+02 -7.54013537e-16 1.16651473e+01)
1317            	3.85288414e+04	2.88175545e+02	(2.49410659e+02 -7.54017401e-16 1.16654707e+01)
1318            	3.85289507e+04	2.88175928e+02	(2.49411478e+02 -7.54021284e-16 1.16657901e+01)
1319            	3.85290845e+04	2.88176322e+02	(2.49412465e+02 -7.54026173e-16 1.16661166e+01)
1320            	3.85292417e+04	2.88176677e+02	(2.49413593e+02 -7.54030850e-16 1.16664396e+01)
1321            	3.85294226e+04	2.88177037e+02	(2.49414890e+02 -7.54034918e-16 1.16667699e+01)
1322            	3.85296265e+04	2.88177358e+02	(2.49416320e+02 -7.54038369e-16 1.16671027e+01)
1323            	3.85298514e+04	2.88177657e+02	(2.49417907e+02 -7.54041723e-16 1.16674346e+01)
1324            	3.85301001e+04	2.88177961e+02	(2.49419656e+02 -7.54045623e-16 1.16677723e+01)
1325            	3.85303711e+04	2.88178237e+02	(2.49421519e+02 -7.54048639e-16 1.16681091e+01)
1326            	3.85306629e+04	2.88178517e+02	(2.49423541e+02 -7.54051969e-16 1.16684512e+01)
1327            	3.85309755e+04	2.88178752e+02	(2.49425678e+02 -7.54055024e-16 1.16687918e+01)
1328            	3.85313078e+04	2.88178997e+02	(2.49427950e+02 -7.54058342e-16 1.16691358e+01)
1329            	3.85316593e+04	2.88179198e+02	(2.49430325e+02 -7.54061118e-16 1.16694800e+01)
1330            	3.85320291e+04	2.88179403e+02	(2.49432832e+02 -7.54064694e-16 1.16698257e+01)
1331            	3.85324172e+04	2.88179562e+02	(2.49435429e+02 -7.54067512e-16 1.16701698e+01)
1332            	3.85328220e+04	2.88179728e+02	(2.49438148e+02 -7.54070748e-16 1.16705133e+01)
1333            	3.85332434e+04	2.88179846e+02	(2.49440954e+02 -7.54073356e-16 1.16708542e+01)
1334            	3.85336800e+04	2.88179968e+02	(2.49443867e+02 -7.54076010e-16 1.16711924e+01)
1335            	3.85341316e+04	2.88180042e+02	(2.49446855e+02 -7.54077321e-16 1.16715295e+01)
1336            	3.85345965e+04	2.88180115e+02	(2.49449937e+02 -7.54079341e-16 1.16718629e+01)
1337            	3.85350747e+04	2.88180139e+02	(2.49453083e+02 -7.54081562e-16 1.16721953e+01)
1338            	3.85355643e+04	2.88180168e+02	(2.49456310e+02 -7.54085894e-16 1.16725214e+01)
1339            	3.85360653e+04	2.88180152e+02	(2.49459588e+02 -7.54089224e-16 1.16728463e+01)
1340            	3.85365759e+04	2.88180143e+02	(2.49462934e+02 -7.54093024e-16 1.16731630e+01)
1341            	3.85370951e+04	2.88180094e+02	(2.49466317e+02 -7.54096417e-16 1.16734792e+01)
1342            	3.85376219e+04	2.88180025e+02	(2.49469756e+02 -7.54099570e-16 1.16737928e+01)
1343            	3.85381569e+04	2.88179977e+02	(2.49473243e+02 -7.54103472e-16 1.16740930e+01)
1344            	3.85387001e+04	2.88179895e+02	(2.49476750e+02 -7.54107029e-16 1.16743909e+01)
1345            	3.85392482e+04	2.88179813e+02	(2.49480293e+02 -7.54111314e-16 1.16746753e+01)
1346            	3.85398007e+04	2.88179695e+02	(2.49483856e+02 -7.54116157e-16 1.16749564e+01)
1347            	3.85403566e+04	2.88179562e+02	(2.49487443e+02 -7.54119774e-16 1.16752324e+01)
1348            	3.85409147e+04	2.88179447e+02	(2.49491049e+02 -7.54122411e-16 1.16754881e+01)
1349            	3.85414738e+04	2.88179296e+02	(2.49494652e+02 -7.54123164e-16 1.16757379e+01)
1350            	3.85420325e+04	2.88179120e+02	(2.49498268e+02 -7.54123972e-16 1.16759816e+01)
1351            	3.85425908e+04	2.88178965e+02	(2.49501885e+02 -7.54126703e-16 1.16762022e+01)
1352            	3.85431492e+04	2.88178774e+02	(2.49505487e+02 -7.54128747e-16 1.16764170e+01)
1353            	3.85437042e+04	2.88178579e+02	(2.49509076e+02 -7.54130420e-16 1.16766104e+01)
1354            	3.85442556e+04	2.88178352e+02	(2.49512646e+02 -7.54133971e-16 1.16767967e+01)
1355            	3.85448035e+04	2.88178110e+02	(2.49516191e+02 -7.54136860e-16 1.16769747e+01)
1356            	3.85453453e+04	2.88177878e+02	(2.49519701e+02 -7.54138450e-16 1.16771255e+01)
1357            	3.85458801e+04	2.88177610e+02	(2.49523162e+02 -7.54138974e-16 1.16772655e+01)
1358            	3.85464076e+04	2.88177319e+02	(2.49526577e+02 -7.54138684e-16 1.16773952e+01)
1359            	3.85469259e+04	2.88177043e+02	(2.49529931e+02 -7.54138136e-16 1.16774941e+01)
1360            	3.85474344e+04	2.88176732e+02	(2.49533219e+02 -7.54138295e-16 1.16775804e+01)
1361            	3.85479332e+04	2.88176398e+02	(2.49536442e+02 -7.54138630e-16 1.16776564e+01)
1362            	3.85484207e+04	2.88176078e+02	(2.49539583e+02 -7.54140188e-16 1.16777000e+01)
1363            	3.85488978e+04	2.88175726e+02	(2.49542647e+02 -7.54142678e-16 1.16777356e+01)
1364            	3.85493617e+04	2.88175363e+02	(2.49545616e+02 -7.54146092e-16 1.16777431e+01)
1365            	3.85498126e+04	2.88174979e+02	(2.49548496e+02 -7.54148133e-16 1.16777389e+01)
1366            	3.85502495e+04	2.88174583e+02	(2.49551275e+02 -7.54150172e-16 1.16777210e+01)
1367            	3.85506717e+04	2.88174179e+02	(2.49553954e+02 -7.54152778e-16 1.16776862e+01)
1368            	3.85510783e+04	2.88173769e+02	(2.49556525e+02 -7.54156323e-16 1.16776325e+01)
1369            	3.85514688e+04	2.88173350e+02	(2.49558980e+02 -7.54160067e-16 1.16775605e+01)
1370            	3.85518426e+04	2.88172924e+02	(2.49561318e+02 -7.54162657e-16 1.16774708e+01)
1371            	3.85521991e+04	2.88172495e+02	(2.49563534e+02 -7.54162918e-16 1.16773630e+01)
1372            	3.85525378e+04	2.88172064e+02	(2.49565624e+02 -7.54161721e-16 1.16772380e+01)
1373            	3.85528581e+04	2.88171630e+02	(2.49567585e+02 -7.54159156e-16 1.16770959e+01)
1374            	3.85531597e+04	2.88171194e+02	(2.49569410e+02 -7.54157112e-16 1.16769376e+01)
1375            	3.85534420e+04	2.88170757e+02	(2.49571097e+02 -7.54154131e-16 1.16767618e+01)
1376            	3.85537044e+04	2.88170320e+02	(2.49572645e+02 -7.54149672e-16 1.16765704e+01)
1377            	3.85539463e+04	2.88169884e+02	(2.49574051e+02 -7.54145884e-16 1.16763631e+01)
1378            	3.85541677e+04	2.88169448e+02	(2.49575311e+02 -7.54143848e-16 1.16761407e+01)
1379            	3.85543680e+04	2.88169012e+02	(2.49576429e+02 -7.54142571e-16 1.16759044e+01)
1380            	3.85545470e+04	2.88168580e+02	(2.49577397e+02 -7.54141425e-16 1.16756542e+01)
1381            	3.85547042e+04	2.88168151e+02	(2.49578222e+02 -7.54140145e-16 1.16753897e+01)
1382            	3.85548396e+04	2.88167728e+02	(2.49578902e+02 -7.54138032e-16 1.16751116e+01)
1383            	3.85549538e+04	2.88167313e+02	(2.49579443e+02 -7.54135379e-16 1.16748264e+01)
1384            	3.85550452e+04	2.88166893e+02	(2.49579834e+02 -7.54132689e-16 1.16745211e+01)
1385            	3.85551148e+04	2.88166491e+02	(2.49580097e+02 -7.54129567e-16 1.16742092e+01)
1386            	3.85551642e+04	2.88166105e+02	(2.49580219e+02 -7.54126522e-16 1.16738947e+01)
1387            	3.85551909e+04	2.88165720e+02	(2.49580199e+02 -7.54123404e-16 1.16735645e+01)
1388            	3.85551958e+04	2.88165346e+02	(2.49580061e+02 -7.54120717e-16 1.16732327e+01)
1389            	3.85551784e+04	2.88164967e+02	(2.49579782e+02 -7.54118077e-16 1.16728891e+01)
1390            	3.85551394e+04	2.88164617e+02	(2.49579384e+02 -7.54115542e-16 1.16725462e+01)
1391            	3.85550778e+04	2.88164259e+02	(2.49578853e+02 -7.54112980e-16 1.16721917e+01)
1392            	3.85549950e+04	2.88163926e+02	(2.49578209e+02 -7.54110343e-16 1.16718310e+01)
1393            	3.85548920e+04	2.88163608e+02	(2.49577433e+02 -7.54107164e-16 1.16714694e+01)
1394            	3.85547667e+04	2.88163282e+02	(2.49576526e+02 -7.54103082e-16 1.16710986e+01)
1395            	3.85546203e+04	2.88162974e+02	(2.49575516e+02 -7.54099466e-16 1.16707275e+01)
1396            	3.85544532e+04	2.88162660e+02	(2.49574363e+02 -7.54094898e-16 1.16703493e+01)
1397            	3.85542665e+04	2.88162378e+02	(2.49573096e+02 -7.54090866e-16 1.16699720e+01)
1398            	3.85540600e+04	2.88162080e+02	(2.49571694e+02 -7.54085704e-16 1.16695903e+01)
1399            	3.85538352e+04	2.88161816e+02	(2.49570180e+02 -7.54081102e-16 1.16692097e+01)
1400            	3.85535920e+04	2.88161543e+02	(2.49568534e+02 -7.54075779e-16 1.16688264e+01)
1401            	3.85533309e+04	2.88161303e+02	(2.49566789e+02 -7.54070918e-16 1.16684447e+01)
1402            	3.85530525e+04	2.88161055e+02	(2.49564919e+02 -7.54065039e-16 1.16680610e+01)
1403            	3.85527577e+04	2.88160850e+02	(2.49562961e+02 -7.54059750e-16 1.16676781e+01)
1404            	3.85524467e+04	2.88160642e+02	(2.49560893e+02 -7.54054289e-16 1.16672947e+01)
1405            	3.85521198e+04	2.88160478e+02	(2.49558750e+02 -7.54049905e-16 1.16669129e+01)
1406            	3.85517782e+04	2.88160314e+02	(2.49556509e+02 -7.54044882e-16 1.16665315e+01)
1407            	3.85514226e+04	2.88160195e+02	(2.49554197e+02 -7.54040811e-16 1.16661513e+01)
1408            	3.85510537e+04	2.88160072e+02	(2.49551793e+02 -7.54036415e-16 1.16657734e+01)
1409            	3.85506716e+04	2.88159988e+02	(2.49549320e+02 -7.54032597e-16 1.16653960e+01)
1410            	3.85502777e+04	2.88159899e+02	(2.49546766e+02 -7.54027690e-16 1.16650241e+01)
1411            	3.85498735e+04	2.88159841e+02	(2.49544140e+02 -7.54023562e-16 1.16646551e+01)
1412            	3.85494588e+04	2.88159772e+02	(2.49541434e+02 -7.54019209e-16 1.16642941e+01)
1413            	3.85490342e+04	2.88159731e+02	(2.49538668e+02 -7.54015440e-16 1.16639354e+01)
1414            	3.85486004e+04	2.88159684e+02	(2.49535837e+02 -7.54010783e-16 1.16635875e+01)
1415            	3.85481597e+04	2.88159668e+02	(2.49532946e+02 -7.54007410e-16 1.16632442e+01)
1416            	3.85477112e+04	2.88159649e+02	(2.49529997e+02 -7.54003338e-16 1.16629136e+01)
1417            	3.85472555e+04	2.88159663e+02	(2.49527010e+02 -7.53999958e-16 1.16625875e+01)
1418            	3.85467938e+04	2.88159679e+02	(2.49523983e+02 -7.53995820e-16 1.16622762e+01)
1419            	3.85463276e+04	2.88159734e+02	(2.49520924e+02 -7.53993020e-16 1.16619707e+01)
1420            	3.85458571e+04	2.88159793e+02	(2.49517837e+02 -7.53989648e-16 1.16616813e+01)
1421            	3.85453825e+04	2.88159893e+02	(2.49514739e+02 -7.53987326e-16 1.16613976e+01)
1422            	3.85449059e+04	2.88159999e+02	(2.49511625e+02 -7.53984621e-16 1.16611314e+01)
1423            	3.85444277e+04	2.88160144e+02	(2.49508509e+02 -7.53982739e-16 1.16608714e+01)
1424            	3.85439497e+04	2.88160295e+02	(2.49505394e+02 -7.53980141e-16 1.16606301e+01)
1425            	3.85434728e+04	2.88160481e+02	(2.49502292e+02 -7.53977604e-16 1.16603960e+01)
1426            	3.85429975e+04	2.88160691e+02	(2.49499198e+02 -7.53976016e-16 1.16601701e+01)
1427            	3.85425246e+04	2.88160893e+02	(2.49496120e+02 -7.53974200e-16 1.16599666e+01)
1428            	3.85420552e+04	2.88161129e+02	(2.49493077e+02 -7.53972397e-16 1.16597710e+01)
1429            	3.85415898e+04	2.88161391e+02	(2.49490061e+02 -7.53971148e-16 1.16595827e+01)
1430            	3.85411291e+04	2.88161641e+02	(2.49487080e+02 -7.53969720e-16 1.16594191e+01)
1431            	3.85406725e+04	2.88161918e+02	(2.49484152e+02 -7.53969485e-16 1.16592634e+01)
1432            	3.85402228e+04	2.88162203e+02	(2.49481275e+02 -7.53969168e-16 1.16591316e+01)
1433            	3.85397796e+04	2.88162508e+02	(2.49478453e+02 -7.53969132e-16 1.16590100e+01)
1434            	3.85393434e+04	2.88162824e+02	(2.49475690e+02 -7.53970734e-16 1.16589026e+01)
1435            	3.85389148e+04	2.88163147e+02	(2.49472985e+02 -7.53973494e-16 1.16588128e+01)
1436            	3.85384948e+04	2.88163479e+02	(2.49470344e+02 -7.53975833e-16 1.16587418e+01)
1437            	3.85380840e+04	2.88163821e+02	(2.49467771e+02 -7.53978810e-16 1.16586894e+01)
1438            	3.85376837e+04	2.88164174e+02	(2.49465268e+02 -7.53980574e-16 1.16586543e+01)
1439            	3.85372944e+04	2.88164537e+02	(2.49462840e+02 -7.53982342e-16 1.16586355e+01)
1440            	3.85369170e+04	2.88164907e+02	(2.49460489e+02 -7.53983399e-16 1.16586320e+01)
1441            	3.85365521e+04	2.88165284e+02	(2.49458220e+02 -7.53983227e-16 1.16586426e+01)
1442            	3.85362005e+04	2.88165667e+02	(2.49456037e+02 -7.53984496e-16 1.16586659e+01)
1443            	3.85358627e+04	2.88166054e+02	(2.49453944e+02 -7.53985595e-16 1.16587007e+01)
1444            	3.85355392e+04	2.88166443e+02	(2.49451943e+02 -7.53986357e-16 1.16587457e+01)
1445            	3.85352304e+04	2.88166834e+02	(2.49450040e+02 -7.53986488e-16 1.16588004e+01)
1446            	3.85349370e+04	2.88167226e+02	(2.49448236e+02 -7.53986952e-16 1.16588650e+01)
1447            	3.85346593e+04	2.88167619e+02	(2.49446536e+02 -7.53987623e-16 1.16589393e+01)
1448            	3.85343980e+04	2.88168011e+02	(2.49444940e+02 -7.53988593e-16 1.16590222e+01)
1449            	3.85341536e+04	2.88168402e+02	(2.49443451e+02 -7.53990138e-16 1.16591146e+01)
1450            	3.85339264e+04	2.88168791e+02	(2.49442071e+02 -7.53992098e-16 1.16592173e+01)
1451            	3.85337167e+04	2.88169176e+02	(2.49440802e+02 -7.53994546e-16 1.16593304e+01)
1452            	3.85335249e+04	2.88169558e+02	(2.49439645e+02 -7.53997056e-16 1.16594536e+01)
1453            	3.85333513e+04	2.88169936e+02	(2.49438606e+02 -7.54000730e-16 1.16595866e+01)
1454            	3.85331967e+04	2.88170312e+02	(2.49437688e+02 -7.54005796e-16 1.16597292e+01)
1455            	3.85330612e+04	2.88170684e+02	(2.49436888e+02 -7.54011273e-16 1.16598803e+01)
1456            	3.85329436e+04	2.88171054e+02	(2.49436211e+02 -7.54015982e-16 1.16600361e+01)
1457            	3.85328452e+04	2.88171432e+02	(2.49435662e+02 -7.54019181e-16 1.16602081e+01)
1458            	3.85327655e+04	2.88171801e+02	(2.49435230e+02 -7.54021003e-16 1.16603844e+01)
1459            	3.85327035e+04	2.88172156e+02	(2.49434930e+02 -7.54022753e-16 1.16605618e+01)
1460            	3.85326613e+04	2.88172508e+02	(2.49434761e+02 -7.54025264e-16 1.16607526e+01)
1461            	3.85326382e+04	2.88172850e+02	(2.49434703e+02 -7.54027002e-16 1.16609434e+01)
1462            	3.85326345e+04	2.88173195e+02	(2.49434780e+02 -7.54029117e-16 1.16611433e+01)
1463            	3.85326498e+04	2.88173512e+02	(2.49434967e+02 -7.54030334e-16 1.16613415e+01)
1464            	3.85326843e+04	2.88173836e+02	(2.49435285e+02 -7.54031348e-16 1.16615484e+01)
1465            	3.85327373e+04	2.88174134e+02	(2.49435710e+02 -7.54032803e-16 1.16617535e+01)
1466            	3.85328093e+04	2.88174435e+02	(2.49436261e+02 -7.54033868e-16 1.16619643e+01)
1467            	3.85328996e+04	2.88174705e+02	(2.49436917e+02 -7.54035655e-16 1.16621757e+01)
1468            	3.85330067e+04	2.88174960e+02	(2.49437690e+02 -7.54037810e-16 1.16623846e+01)
1469            	3.85331326e+04	2.88175217e+02	(2.49438587e+02 -7.54040681e-16 1.16625988e+01)
1470            	3.85332762e+04	2.88175454e+02	(2.49439575e+02 -7.54042608e-16 1.16628112e+01)
1471            	3.85334366e+04	2.88175694e+02	(2.49440691e+02 -7.54045203e-16 1.16630286e+01)
1472            	3.85336140e+04	2.88175903e+02	(2.49441904e+02 -7.54047202e-16 1.16632451e+01)
1473            	3.85338078e+04	2.88176119e+02	(2.49443230e+02 -7.54049684e-16 1.16634669e+01)
1474            	3.85340175e+04	2.88176307e+02	(2.49444648e+02 -7.54051706e-16 1.16636893e+01)
1475            	3.85342424e+04	2.88176501e+02	(2.49446181e+02 -7.54054402e-16 1.16639159e+01)
1476            	3.85344819e+04	2.88176667e+02	(2.49447796e+02 -7.54056754e-16 1.16641453e+01)
1477            	3.85347345e+04	2.88176819e+02	(2.49449511e+02 -7.54059076e-16 1.16643751e+01)
1478            	3.85350020e+04	2.88176978e+02	(2.49451323e+02 -7.54062171e-16 1.16646060e+01)
1479            	3.85352835e+04	2.88177110e+02	(2.49453199e+02 -7.54064645e-16 1.16648368e+01)
1480            	3.85355774e+04	2.88177241e+02	(2.49455167e+02 -7.54067877e-16 1.16650675e+01)
1481            	3.85358837e+04	2.88177331e+02	(2.49457201e+02 -7.54070458e-16 1.16652972e+01)
1482            	3.85362015e+04	2.88177422e+02	(2.49459311e+02 -7.54073379e-16 1.16655250e+01)
1483            	3.85365304e+04	2.88177471e+02	(2.49461473e+02 -7.54075742e-16 1.16657521e+01)
1484            	3.85368692e+04	2.88177521e+02	(2.49463708e+02 -7.54078493e-16 1.16659767e+01)
1485            	3.85372173e+04	2.88177538e+02	(2.49465985e+02 -7.54081012e-16 1.16662022e+01)
1486            	3.85375735e+04	2.88177537e+02	(2.49468322e+02 -7.54082934e-16 1.16664266e+01)
1487            	3.85379387e+04	2.88177546e+02	(2.49470715e+02 -7.54085831e-16 1.16666447e+01)
1488            	3.85383124e+04	2.88177529e+02	(2.49473137e+02 -7.54088130e-16 1.16668622e+01)
1489            	3.85386923e+04	2.88177514e+02	(2.49475607e+02 -7.54090399e-16 1.16670741e+01)
1490            	3.85390780e+04	2.88177471e+02	(2.49478107e+02 -7.54092174e-16 1.16672856e+01)
1491            	3.85394693e+04	2.88177416e+02	(2.49480641e+02 -7.54093532e-16 1.16674943e+01)
1492            	3.85398657e+04	2.88177373e+02	(2.49483207e+02 -7.54095795e-16 1.16676923e+01)
1493            	3.85402660e+04	2.88177301e+02	(2.49485784e+02 -7.54097665e-16 1.16678880e+01)
1494            	3.85406689e+04	2.88177211e+02	(2.49488386e+02 -7.54099000e-16 1.16680805e+01)
1495            	3.85410750e+04	2.88177137e+02	(2.49491007e+02 -7.54100834e-16 1.16682591e+01)
1496            	3.85414832e+04	2.88177039e+02	(2.49493627e+02 -7.54101789e-16 1.16684336e+01)
1497            	3.85418917e+04	2.88176917e+02	(2.49496261e+02 -7.54103800e-16 1.16686040e+01)
1498            	3.85423012e+04	2.88176812e+02	(2.49498900e+02 -7.54107307e-16 1.16687576e+01)
1499            	3.85427102e+04	2.88176685e+02	(2.49501530e+02 -7.54109893e-16 1.16689070e+01)
1500            	3.85431177e+04	2.88176536e+02	(2.49504161e+02 -7.54111093e-16 1.16690521e+01)
1501            	3.85435234e+04	2.88176402e+02	(2.49506783e+02 -7.54112562e-16 1.16691792e+01)
1502            	3.85439278e+04	2.88176244e+02	(2.49509385e+02 -7.54113081e-16 1.16693025e+01)
1503            	3.85443283e+04	2.88176081e+02	(2.49511967e+02 -7.54113841e-16 1.16694095e+01)
1504            	3.85447246e+04	2.88175896e+02	(2.49514525e+02 -7.54113934e-16 1.16695108e+01)
1505            	3.85451165e+04	2.88175698e+02	(2.49517051e+02 -7.54113671e-16 1.16696037e+01)
1506            	3.85455031e+04	2.88175493e+02	(2.49519543e+02 -7.54113848e-16 1.16696861e+01)
1507            	3.85458841e+04	2.88175280e+02	(2.49521995e+02 -7.54113687e-16 1.16697559e+01)
1508            	3.85462586e+04	2.88175057e+02	(2.49524401e+02 -7.54113771e-16 1.16698132e+01)
1509            	3.85466259e+04	2.88174824e+02	(2.49526755e+02 -7.54115213e-16 1.16698571e+01)
1510            	3.85469854e+04	2.88174581e+02	(2.49529054e+02 -7.54117953e-16 1.16698878e+01)
1511            	3.85473366e+04	2.88174329e+02	(2.49531292e+02 -7.54120814e-16 1.16699045e+01)
1512            	3.85476788e+04	2.88174069e+02	(2.49533466e+02 -7.54123860e-16 1.16699075e+01)
1513            	3.85480114e+04	2.88173800e+02	(2.49535571e+02 -7.54126410e-16 1.16698969e+01)
1514            	3.85483338e+04	2.88173524e+02	(2.49537605e+02 -7.54128256e-16 1.16698726e+01)
1515            	3.85486456e+04	2.88173242e+02	(2.49539564e+02 -7.54130750e-16 1.16698348e+01)
1516            	3.85489460e+04	2.88172954e+02	(2.49541443e+02 -7.54133366e-16 1.16697830e+01)
1517            	3.85492347e+04	2.88172662e+02	(2.49543239e+02 -7.54136280e-16 1.16697169e+01)
1518            	3.85495111e+04	2.88172365e+02	(2.49544952e+02 -7.54138810e-16 1.16696372e+01)
1519            	3.85497750e+04	2.88172067e+02	(2.49546575e+02 -7.54140251e-16 1.16695441e+01)
1520            	3.85500258e+04	2.88171768e+02	(2.49548107e+02 -7.54140072e-16 1.16694377e+01)
1521            	3.85502632e+04	2.88171468e+02	(2.49549545e+02 -7.54138742e-16 1.16693183e+01)
1522            	3.85504872e+04	2.88171166e+02	(2.49550886e+02 -7.54136790e-16 1.16691860e+01)
1523            	3.85506972e+04	2.88170863e+02	(2.49552128e+02 -7.54133792e-16 1.16690418e+01)
1524            	3.85508929e+04	2.88170560e+02	(2.49553274e+02 -7.54130730e-16 1.16688866e+01)
1525            	3.85510740e+04	2.88170258e+02	(2.49554319e+02 -7.54127737e-16 1.16687198e+01)
1526            	3.85512403e+04	2.88169954e+02	(2.49555265e+02 -7.54124922e-16 1.16685416e+01)
1527            	3.85513911e+04	2.88169650e+02	(2.49556110e+02 -7.54121954e-16 1.16683527e+01)
1528            	3.85515266e+04	2.88169347e+02	(2.49556854e+02 -7.54118919e-16 1.16681529e+01)
1529            	3.85516462e+04	2.88169044e+02	(2.49557499e+02 -7.54115577e-16 1.16679428e+01)
1530            	3.85517499e+04	2.88168745e+02	(2.49558042e+02 -7.54112572e-16 1.16677217e+01)
1531            	3.85518374e+04	2.88168449e+02	(2.49558487e+02 -7.54109772e-16 1.16674905e+01)
1532            	3.85519088e+04	2.88168157e+02	(2.49558828e+02 -7.54107277e-16 1.16672504e+01)
1533            	3.85519638e+04	2.88167867e+02	(2.49559070e+02 -7.54105195e-16 1.16670025e+01)
1534            	3.85520026e+04	2.88167583e+02	(2.49559208e+02 -7.54103106e-16 1.16667463e+01)
1535            	3.85520253e+04	2.88167304e+02	(2.49559250e+02 -7.54100736e-16 1.16664858e+01)
1536            	3.85520313e+04	2.88167017e+02	(2.49559184e+02 -7.54098328e-16 1.16662130e+01)
1537            	3.85520212e+04	2.88166746e+02	(2.49559030e+02 -7.54095731e-16 1.16659355e+01)
1538            	3.85519959e+04	2.88166487e+02	(2.49558779e+02 -7.54093176e-16 1.16656571e+01)
1539            	3.85519540e+04	2.88166226e+02	(2.49558424e+02 -7.54090271e-16 1.16653687e+01)
1540            	3.85518959e+04	2.88165976e+02	(2.49557989e+02 -7.54087543e-16 1.16650783e+01)
1541            	3.85518222e+04	2.88165723e+02	(2.49557453e+02 -7.54084763e-16 1.16647795e+01)
1542            	3.85517329e+04	2.88165493e+02	(2.49556833e+02 -7.54082025e-16 1.16644771e+01)
1543            	3.85516287e+04	2.88165273e+02	(2.49556122e+02 -7.54079079e-16 1.16641739e+01)
1544            	3.85515095e+04	2.88165043e+02	(2.49555314e+02 -7.54075870e-16 1.16638637e+01)
1545            	3.85513759e+04	2.88164834e+02	(2.49554432e+02 -7.54072945e-16 1.16635509e+01)
1546            	3.85512295e+04	2.88164639e+02	(2.49553457e+02 -7.54070252e-16 1.16632392e+01)
1547            	3.85510684e+04	2.88164437e+02	(2.49552386e+02 -7.54066892e-16 1.16629242e+01)
1548            	3.85508936e+04	2.88164249e+02	(2.49551243e+02 -7.54064132e-16 1.16626088e+01)
1549            	3.85507057e+04	2.88164054e+02	(2.49550006e+02 -7.54060891e-16 1.16622905e+01)
1550            	3.85505049e+04	2.88163884e+02	(2.49548694e+02 -7.54058054e-16 1.16619723e+01)
1551            	3.85502919e+04	2.88163703e+02	(2.49547292e+02 -7.54054604e-16 1.16616537e+01)
1552            	3.85500669e+04	2.88163549e+02	(2.49545824e+02 -7.54051553e-16 1.16613357e+01)
1553            	3.85498306e+04	2.88163388e+02	(2.49544276e+02 -7.54047888e-16 1.16610189e+01)
1554            	3.85495834e+04	2.88163256e+02	(2.49542667e+02 -7.54044849e-16 1.16607035e+01)
1555            	3.85493258e+04	2.88163119e+02	(2.49540984e+02 -7.54041327e-16 1.16603911e+01)
1556            	3.85490579e+04	2.88163013e+02	(2.49539247e+02 -7.54038223e-16 1.16600803e+01)
1557            	3.85487804e+04	2.88162906e+02	(2.49537448e+02 -7.54034258e-16 1.16597745e+01)
1558            	3.85484953e+04	2.88162828e+02	(2.49535593e+02 -7.54031289e-16 1.16594722e+01)
1559            	3.85482012e+04	2.88162751e+02	(2.49533678e+02 -7.54028008e-16 1.16591771e+01)
1560            	3.85478993e+04	2.88162697e+02	(2.49531718e+02 -7.54025230e-16 1.16588852e+01)
1561            	3.85475896e+04	2.88162645e+02	(2.49529710e+02 -7.54021197e-16 1.16586029e+01)
1562            	3.85472749e+04	2.88162616e+02	(2.49527652e+02 -7.54018487e-16 1.16583263e+01)
1563            	3.85469532e+04	2.88162589e+02	(2.49525548e+02 -7.54015294e-16 1.16580608e+01)
1564            	3.85466258e+04	2.88162587e+02	(2.49523414e+02 -7.54012874e-16 1.16578004e+01)
1565            	3.85462931e+04	2.88162588e+02	(2.49521247e+02 -7.54009351e-16 1.16575524e+01)
1566            	3.85459570e+04	2.88162616e+02	(2.49519050e+02 -7.54007012e-16 1.16573106e+01)
1567            	3.85456169e+04	2.88162645e+02	(2.49516826e+02 -7.54004264e-16 1.16570818e+01)
1568            	3.85452733e+04	2.88162702e+02	(2.49514589e+02 -7.54002388e-16 1.16568584e+01)
1569            	3.85449270e+04	2.88162763e+02	(2.49512339e+02 -7.54000015e-16 1.16566489e+01)
1570            	3.85445792e+04	2.88162854e+02	(2.49510080e+02 -7.53998455e-16 1.16564447e+01)
1571            	3.85442302e+04	2.88162946e+02	(2.49507815e+02 -7.53996611e-16 1.16562541e+01)
1572            	3.85438800e+04	2.88163066e+02	(2.49505552e+02 -7.53995295e-16 1.16560675e+01)
1573            	3.85435299e+04	2.88163190e+02	(2.49503292e+02 -7.53993610e-16 1.16558947e+01)
1574            	3.85431803e+04	2.88163338e+02	(2.49501041e+02 -7.53992267e-16 1.16557259e+01)
1575            	3.85428324e+04	2.88163488e+02	(2.49498800e+02 -7.53991931e-16 1.16555707e+01)
1576            	3.85424867e+04	2.88163660e+02	(2.49496578e+02 -7.53991131e-16 1.16554200e+01)
1577            	3.85421431e+04	2.88163846e+02	(2.49494370e+02 -7.53991314e-16 1.16552741e+01)
