# Region type : patch farfield
# Faces         : 1280
# Area          : 4.29356266e-01
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(T)	areaAverage(U)
98              	3.85109679e+04	2.88151080e+02	(2.49405282e+02 -7.53375663e-16 1.17709482e+01)
99              	3.85061861e+04	2.88156710e+02	(2.49371778e+02 -7.53432944e-16 1.17694616e+01)
100             	3.85014989e+04	2.88162172e+02	(2.49338547e+02 -7.53478896e-16 1.17676466e+01)
101             	3.84969119e+04	2.88167580e+02	(2.49305759e+02 -7.53492851e-16 1.17656182e+01)
102             	3.84924308e+04	2.88172783e+02	(2.49273236e+02 -7.53486884e-16 1.17634161e+01)
103             	3.84880566e+04	2.88177636e+02	(2.49241290e+02 -7.53503167e-16 1.17610343e+01)
104             	3.84837990e+04	2.88182475e+02	(2.49210020e+02 -7.53517774e-16 1.17584904e+01)
105             	3.84796575e+04	2.88187094e+02	(2.49179210e+02 -7.53515411e-16 1.17558441e+01)
106             	3.84756231e+04	2.88191422e+02	(2.49149000e+02 -7.53537266e-16 1.17531069e+01)
107             	3.84717024e+04	2.88195519e+02	(2.49119420e+02 -7.53589946e-16 1.17502926e+01)
108             	3.84679045e+04	2.88199400e+02	(2.49090549e+02 -7.53652796e-16 1.17474239e+01)
109             	3.84642337e+04	2.88203067e+02	(2.49062428e+02 -7.53706008e-16 1.17445375e+01)
110             	3.84606942e+04	2.88206520e+02	(2.49035091e+02 -7.53752272e-16 1.17416774e+01)
111             	3.84572882e+04	2.88209762e+02	(2.49008566e+02 -7.53797939e-16 1.17388846e+01)
112             	3.84540166e+04	2.88212802e+02	(2.48982887e+02 -7.53845173e-16 1.17361919e+01)
113             	3.84508781e+04	2.88215648e+02	(2.48958089e+02 -7.53898937e-16 1.17336208e+01)
114             	3.84478699e+04	2.88218310e+02	(2.48934196e+02 -7.53956009e-16 1.17311982e+01)
115             	3.84449899e+04	2.88220804e+02	(2.48911240e+02 -7.53989847e-16 1.17289447e+01)
116             	3.84422374e+04	2.88223141e+02	(2.48889252e+02 -7.54009371e-16 1.17268839e+01)
117             	3.84396119e+04	2.88225335e+02	(2.48868245e+02 -7.54029094e-16 1.17250294e+01)
118             	3.84371133e+04	2.88227397e+02	(2.48848235e+02 -7.54047845e-16 1.17233902e+01)
119             	3.84347421e+04	2.88229332e+02	(2.48829244e+02 -7.54068771e-16 1.17219742e+01)
120             	3.84325011e+04	2.88231145e+02	(2.48811296e+02 -7.54091377e-16 1.17207858e+01)
121             	3.84303934e+04	2.88232852e+02	(2.48794429e+02 -7.54112614e-16 1.17198248e+01)
122             	3.84284226e+04	2.88234455e+02	(2.48778674e+02 -7.54130470e-16 1.17190875e+01)
123             	3.84265929e+04	2.88235957e+02	(2.48764060e+02 -7.54144545e-16 1.17185655e+01)
124             	3.84249095e+04	2.88237361e+02	(2.48750626e+02 -7.54158530e-16 1.17182463e+01)
125             	3.84233824e+04	2.88238679e+02	(2.48738423e+02 -7.54172896e-16 1.17181174e+01)
126             	3.84220245e+04	2.88239932e+02	(2.48727539e+02 -7.54186305e-16 1.17181556e+01)
127             	3.84208373e+04	2.88241139e+02	(2.48717960e+02 -7.54203603e-16 1.17182901e+01)
128             	3.84198418e+04	2.88242111e+02	(2.48709932e+02 -7.54218053e-16 1.17186290e+01)
129             	3.84190415e+04	2.88243267e+02	(2.48703429e+02 -7.54231131e-16 1.17189914e+01)
130             	3.84184299e+04	2.88244500e+02	(2.48698517e+02 -7.54247581e-16 1.17193427e+01)
131             	3.84180351e+04	2.88245497e+02	(2.48695302e+02 -7.54271439e-16 1.17198110e+01)
132             	3.84178345e+04	2.88246613e+02	(2.48693525e+02 -7.54308025e-16 1.17202565e+01)
133             	3.84177840e+04	2.88247784e+02	(2.48693134e+02 -7.54343537e-16 1.17207205e+01)
134             	3.84179138e+04	2.88248800e+02	(2.48694170e+02 -7.54368563e-16 1.17214069e+01)
135             	3.84182445e+04	2.88249918e+02	(2.48696452e+02 -7.54384841e-16 1.17222347e+01)
136             	3.84188139e+04	2.88251034e+02	(2.48700418e+02 -7.54397161e-16 1.17232260e+01)
137             	3.84196552e+04	2.88252148e+02	(2.48705855e+02 -7.54414437e-16 1.17242151e+01)
138             	3.84207887e+04	2.88253244e+02	(2.48712988e+02 -7.54428145e-16 1.17251402e+01)
139             	3.84222153e+04	2.88254271e+02	(2.48721639e+02 -7.54437589e-16 1.17258812e+01)
140             	3.84239168e+04	2.88255225e+02	(2.48731958e+02 -7.54448606e-16 1.17263891e+01)
141             	3.84259307e+04	2.88256139e+02	(2.48744040e+02 -7.54458138e-16 1.17266701e+01)
142             	3.84282475e+04	2.88257016e+02	(2.48757677e+02 -7.54471997e-16 1.17267268e+01)
143             	3.84308375e+04	2.88257805e+02	(2.48773114e+02 -7.54488800e-16 1.17265719e+01)
144             	3.84337551e+04	2.88258600e+02	(2.48790453e+02 -7.54514252e-16 1.17262242e+01)
145             	3.84370001e+04	2.88259340e+02	(2.48809535e+02 -7.54542533e-16 1.17257076e+01)
146             	3.84405472e+04	2.88260082e+02	(2.48830630e+02 -7.54580139e-16 1.17250397e+01)
147             	3.84444057e+04	2.88260618e+02	(2.48853545e+02 -7.54629020e-16 1.17242418e+01)
148             	3.84485714e+04	2.88261210e+02	(2.48878458e+02 -7.54691012e-16 1.17233055e+01)
149             	3.84530437e+04	2.88261591e+02	(2.48905112e+02 -7.54761401e-16 1.17222703e+01)
150             	3.84578087e+04	2.88261982e+02	(2.48933499e+02 -7.54838689e-16 1.17211300e+01)
151             	3.84628629e+04	2.88262157e+02	(2.48963261e+02 -7.54918622e-16 1.17199105e+01)
152             	3.84681771e+04	2.88262188e+02	(2.48994454e+02 -7.54996120e-16 1.17186116e+01)
153             	3.84737698e+04	2.88262277e+02	(2.49026968e+02 -7.55084847e-16 1.17172274e+01)
154             	3.84796413e+04	2.88262152e+02	(2.49060580e+02 -7.55170893e-16 1.17157960e+01)
155             	3.84857450e+04	2.88261972e+02	(2.49095467e+02 -7.55251932e-16 1.17143091e+01)
156             	3.84920847e+04	2.88261550e+02	(2.49131589e+02 -7.55319386e-16 1.17128309e+01)
157             	3.84986375e+04	2.88261135e+02	(2.49169249e+02 -7.55385595e-16 1.17113374e+01)
158             	3.85053944e+04	2.88260446e+02	(2.49208272e+02 -7.55442605e-16 1.17099048e+01)
159             	3.85123213e+04	2.88259744e+02	(2.49248697e+02 -7.55495441e-16 1.17085328e+01)
160             	3.85193983e+04	2.88258805e+02	(2.49290266e+02 -7.55538716e-16 1.17073152e+01)
161             	3.85265917e+04	2.88257719e+02	(2.49333004e+02 -7.55562959e-16 1.17062699e+01)
162             	3.85338979e+04	2.88256677e+02	(2.49376734e+02 -7.55581673e-16 1.17053504e+01)
163             	3.85413027e+04	2.88255354e+02	(2.49421222e+02 -7.55574630e-16 1.17046262e+01)
164             	3.85487553e+04	2.88253947e+02	(2.49466488e+02 -7.55551283e-16 1.17040401e+01)
165             	3.85562493e+04	2.88252287e+02	(2.49512343e+02 -7.55521266e-16 1.17036769e+01)
166             	3.85637581e+04	2.88250574e+02	(2.49558723e+02 -7.55496247e-16 1.17034853e+01)
167             	3.85712679e+04	2.88248500e+02	(2.49605446e+02 -7.55463475e-16 1.17035666e+01)
168             	3.85787340e+04	2.88246300e+02	(2.49652394e+02 -7.55420581e-16 1.17038157e+01)
169             	3.85861434e+04	2.88243761e+02	(2.49699364e+02 -7.55364243e-16 1.17043381e+01)
170             	3.85934550e+04	2.88241075e+02	(2.49746188e+02 -7.55309446e-16 1.17050871e+01)
171             	3.86006485e+04	2.88238065e+02	(2.49792686e+02 -7.55268890e-16 1.17061719e+01)
172             	3.86076973e+04	2.88234947e+02	(2.49838748e+02 -7.55220084e-16 1.17074821e+01)
173             	3.86146009e+04	2.88231537e+02	(2.49884348e+02 -7.55191665e-16 1.17090627e+01)
174             	3.86213181e+04	2.88227950e+02	(2.49929358e+02 -7.55115812e-16 1.17109527e+01)
175             	3.86278531e+04	2.88224338e+02	(2.49973702e+02 -7.55085095e-16 1.17130413e+01)
176             	3.86341700e+04	2.88220316e+02	(2.50017157e+02 -7.55001710e-16 1.17153643e+01)
177             	3.86402212e+04	2.88216065e+02	(2.50059477e+02 -7.54889140e-16 1.17177468e+01)
178             	3.86459885e+04	2.88211544e+02	(2.50100545e+02 -7.54809690e-16 1.17202177e+01)
179             	3.86514630e+04	2.88206811e+02	(2.50140133e+02 -7.54773547e-16 1.17227323e+01)
180             	3.86566158e+04	2.88201908e+02	(2.50177902e+02 -7.54746526e-16 1.17251765e+01)
181             	3.86614372e+04	2.88196668e+02	(2.50213878e+02 -7.54719645e-16 1.17276507e+01)
182             	3.86659510e+04	2.88191338e+02	(2.50248032e+02 -7.54681077e-16 1.17301665e+01)
183             	3.86701592e+04	2.88186068e+02	(2.50280090e+02 -7.54629223e-16 1.17326644e+01)
184             	3.86740776e+04	2.88180443e+02	(2.50310116e+02 -7.54562171e-16 1.17352864e+01)
185             	3.86777024e+04	2.88174560e+02	(2.50337772e+02 -7.54472781e-16 1.17379974e+01)
186             	3.86810477e+04	2.88168652e+02	(2.50363154e+02 -7.54356595e-16 1.17409343e+01)
187             	3.86841225e+04	2.88162754e+02	(2.50386177e+02 -7.54243899e-16 1.17440852e+01)
188             	3.86868973e+04	2.88156841e+02	(2.50406666e+02 -7.54159763e-16 1.17473138e+01)
189             	3.86893660e+04	2.88150985e+02	(2.50424773e+02 -7.54075241e-16 1.17505877e+01)
190             	3.86915595e+04	2.88145385e+02	(2.50440676e+02 -7.53982518e-16 1.17537555e+01)
191             	3.86934556e+04	2.88140158e+02	(2.50454422e+02 -7.53883171e-16 1.17566015e+01)
192             	3.86950462e+04	2.88135047e+02	(2.50466272e+02 -7.53776248e-16 1.17591464e+01)
193             	3.86963222e+04	2.88130106e+02	(2.50476156e+02 -7.53678116e-16 1.17612963e+01)
194             	3.86972830e+04	2.88125542e+02	(2.50484339e+02 -7.53583570e-16 1.17631732e+01)
195             	3.86979385e+04	2.88121318e+02	(2.50490792e+02 -7.53491033e-16 1.17647964e+01)
196             	3.86982958e+04	2.88117367e+02	(2.50495534e+02 -7.53399184e-16 1.17661795e+01)
197             	3.86983650e+04	2.88113643e+02	(2.50498571e+02 -7.53312764e-16 1.17673380e+01)
198             	3.86981595e+04	2.88110122e+02	(2.50499936e+02 -7.53232643e-16 1.17682876e+01)
199             	3.86976902e+04	2.88106786e+02	(2.50499624e+02 -7.53157476e-16 1.17690347e+01)
200             	3.86969666e+04	2.88103589e+02	(2.50497637e+02 -7.53084845e-16 1.17695717e+01)
201             	3.86959968e+04	2.88100501e+02	(2.50493942e+02 -7.53009579e-16 1.17698708e+01)
202             	3.86947865e+04	2.88097505e+02	(2.50488529e+02 -7.52939097e-16 1.17699121e+01)
203             	3.86933413e+04	2.88094601e+02	(2.50481387e+02 -7.52871762e-16 1.17696758e+01)
204             	3.86916665e+04	2.88091793e+02	(2.50472517e+02 -7.52806407e-16 1.17691431e+01)
205             	3.86897662e+04	2.88089082e+02	(2.50461939e+02 -7.52742218e-16 1.17683026e+01)
206             	3.86876459e+04	2.88086473e+02	(2.50449694e+02 -7.52680523e-16 1.17671543e+01)
207             	3.86853108e+04	2.88083968e+02	(2.50435824e+02 -7.52624123e-16 1.17656985e+01)
208             	3.86827656e+04	2.88081578e+02	(2.50420399e+02 -7.52577312e-16 1.17639398e+01)
209             	3.86800150e+04	2.88079302e+02	(2.50403507e+02 -7.52537378e-16 1.17618858e+01)
210             	3.86770683e+04	2.88077146e+02	(2.50385266e+02 -7.52499164e-16 1.17595813e+01)
211             	3.86739174e+04	2.88074976e+02	(2.50365636e+02 -7.52462470e-16 1.17569517e+01)
212             	3.86705842e+04	2.88073055e+02	(2.50344929e+02 -7.52432687e-16 1.17540737e+01)
213             	3.86670997e+04	2.88071373e+02	(2.50322950e+02 -7.52414353e-16 1.17509943e+01)
214             	3.86634199e+04	2.88069781e+02	(2.50299703e+02 -7.52395376e-16 1.17476347e+01)
215             	3.86595617e+04	2.88068420e+02	(2.50275543e+02 -7.52387788e-16 1.17440638e+01)
216             	3.86555587e+04	2.88067419e+02	(2.50250199e+02 -7.52387562e-16 1.17403293e+01)
217             	3.86513591e+04	2.88066540e+02	(2.50223650e+02 -7.52378489e-16 1.17363829e+01)
218             	3.86469710e+04	2.88065911e+02	(2.50196273e+02 -7.52373520e-16 1.17323353e+01)
219             	3.86424241e+04	2.88065467e+02	(2.50167765e+02 -7.52372267e-16 1.17281413e+01)
220             	3.86377229e+04	2.88065409e+02	(2.50138383e+02 -7.52373938e-16 1.17238374e+01)
221             	3.86328748e+04	2.88065553e+02	(2.50108027e+02 -7.52379521e-16 1.17194641e+01)
222             	3.86278801e+04	2.88065766e+02	(2.50076615e+02 -7.52381172e-16 1.17149792e+01)
223             	3.86227568e+04	2.88066373e+02	(2.50044378e+02 -7.52389491e-16 1.17103970e+01)
224             	3.86175317e+04	2.88067256e+02	(2.50011077e+02 -7.52406852e-16 1.17057326e+01)
225             	3.86121733e+04	2.88068097e+02	(2.49976684e+02 -7.52419180e-16 1.17009739e+01)
226             	3.86066981e+04	2.88069274e+02	(2.49941500e+02 -7.52442161e-16 1.16961178e+01)
227             	3.86011485e+04	2.88070785e+02	(2.49905239e+02 -7.52474405e-16 1.16911707e+01)
228             	3.85954871e+04	2.88072156e+02	(2.49867918e+02 -7.52496636e-16 1.16861561e+01)
229             	3.85897145e+04	2.88073788e+02	(2.49829883e+02 -7.52531713e-16 1.16810758e+01)
230             	3.85838754e+04	2.88075563e+02	(2.49790873e+02 -7.52570746e-16 1.16759780e+01)
231             	3.85779652e+04	2.88077546e+02	(2.49751042e+02 -7.52612767e-16 1.16708240e+01)
232             	3.85719967e+04	2.88079420e+02	(2.49710373e+02 -7.52646405e-16 1.16656965e+01)
233             	3.85659922e+04	2.88081621e+02	(2.49669210e+02 -7.52679727e-16 1.16605613e+01)
234             	3.85599736e+04	2.88084007e+02	(2.49627507e+02 -7.52718316e-16 1.16554552e+01)
235             	3.85539214e+04	2.88086147e+02	(2.49585380e+02 -7.52746771e-16 1.16505111e+01)
236             	3.85478621e+04	2.88088598e+02	(2.49543129e+02 -7.52783824e-16 1.16456422e+01)
237             	3.85418260e+04	2.88091311e+02	(2.49500614e+02 -7.52838826e-16 1.16408346e+01)
238             	3.85357916e+04	2.88093800e+02	(2.49458087e+02 -7.52883882e-16 1.16362134e+01)
239             	3.85297616e+04	2.88096623e+02	(2.49415943e+02 -7.52936339e-16 1.16316622e+01)
240             	3.85237753e+04	2.88099492e+02	(2.49374069e+02 -7.52990586e-16 1.16272925e+01)
241             	3.85178385e+04	2.88102574e+02	(2.49332441e+02 -7.53044250e-16 1.16229929e+01)
242             	3.85119586e+04	2.88105797e+02	(2.49291124e+02 -7.53102661e-16 1.16187586e+01)
243             	3.85061566e+04	2.88108929e+02	(2.49250240e+02 -7.53166490e-16 1.16147319e+01)
244             	3.85004553e+04	2.88112416e+02	(2.49209949e+02 -7.53227791e-16 1.16107675e+01)
245             	3.84948655e+04	2.88116112e+02	(2.49170133e+02 -7.53293093e-16 1.16068569e+01)
246             	3.84893885e+04	2.88119614e+02	(2.49131174e+02 -7.53323295e-16 1.16031900e+01)
247             	3.84840424e+04	2.88123536e+02	(2.49093136e+02 -7.53350575e-16 1.15995999e+01)
248             	3.84788412e+04	2.88127688e+02	(2.49055972e+02 -7.53376007e-16 1.15960797e+01)
249             	3.84737812e+04	2.88131552e+02	(2.49019934e+02 -7.53355399e-16 1.15928589e+01)
250             	3.84688714e+04	2.88135791e+02	(2.48985091e+02 -7.53323047e-16 1.15897174e+01)
