x_m,Cf
1.201898679e-01,3.713003825e-03
1.215368286e-01,3.706190502e-03
1.228889376e-01,3.699443536e-03
1.242462471e-01,3.692761762e-03
1.256088018e-01,3.686143085e-03
1.269766539e-01,3.679586342e-03
1.283498406e-01,3.673091065e-03
1.297284365e-01,3.666654928e-03
1.311124712e-01,3.660276765e-03
1.325020045e-01,3.653956344e-03
1.338970959e-01,3.647691803e-03
1.352977753e-01,3.641481744e-03
1.367041171e-01,3.635325469e-03
1.381161511e-01,3.629221115e-03
1.395339519e-01,3.623165190e-03
1.409575790e-01,3.617156995e-03
1.423870623e-01,3.611197695e-03
1.438224763e-01,3.605286358e-03
1.452638805e-01,3.599422053e-03
1.467113197e-01,3.593605012e-03
1.481648535e-01,3.587834071e-03
1.496245414e-01,3.582107369e-03
1.510904431e-01,3.576425137e-03
1.525626183e-01,3.570786677e-03
1.540411264e-01,3.565190593e-03
1.555260271e-01,3.559635719e-03
1.570173800e-01,3.554122290e-03
1.585152596e-01,3.548649373e-03
1.600197256e-01,3.543215338e-03
1.615308374e-01,3.537820186e-03
1.630486548e-01,3.532463452e-03
1.645732373e-01,3.527144203e-03
1.661046743e-01,3.521860810e-03
1.676430106e-01,3.516613506e-03
1.691883355e-01,3.511402523e-03
1.707406938e-01,3.506225999e-03
1.723001748e-01,3.501083003e-03
1.738668382e-01,3.495973768e-03
1.754407436e-01,3.490898060e-03
1.770219952e-01,3.485854249e-03
1.786106378e-01,3.480842104e-03
1.802067459e-01,3.475861391e-03
1.818104088e-01,3.470911877e-03
1.834216863e-01,3.465991933e-03
1.850406677e-01,3.461101325e-03
1.866674274e-01,3.456240520e-03
1.883020550e-01,3.451408586e-03
1.899445951e-01,3.446604125e-03
1.915951520e-01,3.441827372e-03
1.932538152e-01,3.437078325e-03
1.949206442e-01,3.432356054e-03
1.965957433e-01,3.427659860e-03
1.982791722e-01,3.422988812e-03
1.999710351e-01,3.418342443e-03
2.016714215e-01,3.413719358e-03
2.033804059e-01,3.409118624e-03
2.050980777e-01,3.404541174e-03
2.068245411e-01,3.399987705e-03
2.085598707e-01,3.395457752e-03
2.103041708e-01,3.390950384e-03
2.120575309e-01,3.386465367e-03
2.138200402e-01,3.382002935e-03
2.155917883e-01,3.377562854e-03
2.173728943e-01,3.373143962e-03
2.191634327e-01,3.368745791e-03
2.209635228e-01,3.364368575e-03
2.227732539e-01,3.360012313e-03
2.245927304e-01,3.355676075e-03
2.264220566e-01,3.351359162e-03
2.282613367e-01,3.347061807e-03
2.301106751e-01,3.342784010e-03
2.319701910e-01,3.338525305e-03
2.338399738e-01,3.334284294e-03
2.357201427e-01,3.330061678e-03
2.376108319e-01,3.325857222e-03
2.395121157e-01,3.321670694e-03
2.414241433e-01,3.317501163e-03
2.433470190e-01,3.313348163e-03
2.452808470e-01,3.309212392e-03
2.472257763e-01,3.305093385e-03
2.491818964e-01,3.300990444e-03
2.511493564e-01,3.296902869e-03
2.531282902e-01,3.292831127e-03
2.551187873e-01,3.288775450e-03
2.571209967e-01,3.284734674e-03
2.591350675e-01,3.280708333e-03
2.611611187e-01,3.276696661e-03
2.631992698e-01,3.272699658e-03
2.652496696e-01,3.268717090e-03
2.673124373e-01,3.264748026e-03
2.693877518e-01,3.260792233e-03
2.714757323e-01,3.256850177e-03
2.735765278e-01,3.252921626e-03
2.756902874e-01,3.249005880e-03
2.778171599e-01,3.245102474e-03
2.799572945e-01,3.241211642e-03
2.821108401e-01,3.237333382e-03
2.842779458e-01,3.233467462e-03
2.864587903e-01,3.229612950e-03
2.886535227e-01,3.225769848e-03
2.908623219e-01,3.221938387e-03
2.930853069e-01,3.218117636e-03
2.953226864e-01,3.214306198e-03
2.975746393e-01,3.210503375e-03
2.998413146e-01,3.206710564e-03
3.021228909e-01,3.202928463e-03
3.044195473e-01,3.199156607e-03
3.067314625e-01,3.195394296e-03
3.090588450e-01,3.191641765e-03
3.114018440e-01,3.187899245e-03
3.137606978e-01,3.184166271e-03
3.161355257e-01,3.180442378e-03
3.185265958e-01,3.176727332e-03
3.209340870e-01,3.173020668e-03
3.233581781e-01,3.169323085e-03
3.257990777e-01,3.165633883e-03
3.282570243e-01,3.161952831e-03
3.307321966e-01,3.158279695e-03
3.332248330e-01,3.154614707e-03
3.357351422e-01,3.150957869e-03
3.382633626e-01,3.147308715e-03
3.408097029e-01,3.143666545e-03
3.433744013e-01,3.140031826e-03
3.459576964e-01,3.136404324e-03
3.485597968e-01,3.132784273e-03
3.511810005e-01,3.129170509e-03
3.538214862e-01,3.125563264e-03
3.564815521e-01,3.121962538e-03
3.591614366e-01,3.118368564e-03
3.618614078e-01,3.114780877e-03
3.645817339e-01,3.111198777e-03
3.673226237e-01,3.107622266e-03
3.700844347e-01,3.104051808e-03
3.728674054e-01,3.100487171e-03
3.756718040e-01,3.096927656e-03
3.784979284e-01,3.093372798e-03
3.813460767e-01,3.089823294e-03
3.842165470e-01,3.086279146e-03
3.871096373e-01,3.082739655e-03
3.900256455e-01,3.079204587e-03
3.929648995e-01,3.075673711e-03
3.959276974e-01,3.072147258e-03
3.989143968e-01,3.068625461e-03
4.019253254e-01,3.065107390e-03
4.049607813e-01,3.061592812e-03
4.080211222e-01,3.058081958e-03
4.111067355e-01,3.054575063e-03
4.142179191e-01,3.051071661e-03
4.173550904e-01,3.047571052e-03
4.205185771e-01,3.044073470e-03
4.237087667e-01,3.040579148e-03
4.269260764e-01,3.037087852e-03
4.301708341e-01,3.033599118e-03
4.334434569e-01,3.030112712e-03
4.367443919e-01,3.026627935e-03
4.400739968e-01,3.023144556e-03
4.434327483e-01,3.019661643e-03
4.468210340e-01,3.016179660e-03
4.502393007e-01,3.012699075e-03
4.536879957e-01,3.009220585e-03
4.571675658e-01,3.005743725e-03
4.606784880e-01,3.002268262e-03
4.642212391e-01,2.998793498e-03
4.677962959e-01,2.995319897e-03
4.714041352e-01,2.991847694e-03
4.750452936e-01,2.988376422e-03
4.787202775e-01,2.984905383e-03
4.824295640e-01,2.981434576e-03
4.861737490e-01,2.977964701e-03
4.899533391e-01,2.974495059e-03
4.937689006e-01,2.971025417e-03
4.976209998e-01,2.967555309e-03
5.015102029e-01,2.964085201e-03
5.054371357e-01,2.960615093e-03
5.094023943e-01,2.957144286e-03
5.134065747e-01,2.953672549e-03
5.174503326e-01,2.950200113e-03
5.215342641e-01,2.946726978e-03
5.256590843e-01,2.943252679e-03
5.298254490e-01,2.939776983e-03
5.340340734e-01,2.936299657e-03
5.382856131e-01,2.932820935e-03
5.425807834e-01,2.929341048e-03
5.469203591e-01,2.925858833e-03
5.513049960e-01,2.922374289e-03
5.557355881e-01,2.918887651e-03
5.602129102e-01,2.915399382e-03
5.647376776e-01,2.911908086e-03
5.693107247e-01,2.908413997e-03
5.739330053e-01,2.904917346e-03
5.786052346e-01,2.901417902e-03
5.833283663e-01,2.897915430e-03
5.881032944e-01,2.894409234e-03
5.929309130e-01,2.890899545e-03
5.978122354e-01,2.887386829e-03
6.027481556e-01,2.883870155e-03
6.077396870e-01,2.880349057e-03
6.127878428e-01,2.876823302e-03
6.178936362e-01,2.873293357e-03
6.230581999e-01,2.869758988e-03
6.282825470e-01,2.866219496e-03
6.335678697e-01,2.862675348e-03
6.389152408e-01,2.859126544e-03
6.443258524e-01,2.855572617e-03
6.498009562e-01,2.852013102e-03
6.553417444e-01,2.848448232e-03
6.609494686e-01,2.844877541e-03
6.666254401e-01,2.841299633e-03
6.723710299e-01,2.837713808e-03
6.781874895e-01,2.834120998e-03
6.840763688e-01,2.830521436e-03
6.900390387e-01,2.826915588e-03
6.960769296e-01,2.823302755e-03
7.021916509e-01,2.819682704e-03
7.083846927e-01,2.816055901e-03
7.146576643e-01,2.812421648e-03
7.210122347e-01,2.808779711e-03
7.274500728e-01,2.805129858e-03
7.339729071e-01,2.801472321e-03
7.405825853e-01,2.797806635e-03
7.472808361e-01,2.794132102e-03
7.540696263e-01,2.790448954e-03
7.609508634e-01,2.786757424e-03
7.679265738e-01,2.783056349e-03
7.749987841e-01,2.779345959e-03
7.821695805e-01,2.775626257e-03
7.894411683e-01,2.771896776e-03
7.968158126e-01,2.768157050e-03
8.042958379e-01,2.764407080e-03
8.118835092e-01,2.760646865e-03
8.195813894e-01,2.756875707e-03
8.273919821e-01,2.753093373e-03
8.353177905e-01,2.749299863e-03
8.433616161e-01,2.745495178e-03
8.515261412e-01,2.741678385e-03
8.598142862e-01,2.737849485e-03
8.682289124e-01,2.734008478e-03
8.767731786e-01,2.730154665e-03
8.854500651e-01,2.726287814e-03
8.942628503e-01,2.722407924e-03
9.032149911e-01,2.718514763e-03
9.123097658e-01,2.714607632e-03
9.215508699e-01,2.710686298e-03
9.309419394e-01,2.706750529e-03
9.404867887e-01,2.702799859e-03
9.501893520e-01,2.698833589e-03
9.600536823e-01,2.694851253e-03
9.700840712e-01,2.690853551e-03
9.802848101e-01,2.686842810e-03
9.906604290e-01,2.682828577e-03
1.001215577e+00,2.678780351e-03
1.011955261e+00,2.674709307e-03
1.022694826e+00,2.670699498e-03
1.033434510e+00,2.666747896e-03
1.044174075e+00,2.662832150e-03
1.054913640e+00,2.658964135e-03
1.065653324e+00,2.655141987e-03
1.076392889e+00,2.651365707e-03
1.087132573e+00,2.647634363e-03
1.097872138e+00,2.643947490e-03
1.108611822e+00,2.640304156e-03
1.119351387e+00,2.636703430e-03
1.130090952e+00,2.633144381e-03
1.140830636e+00,2.629626309e-03
1.151570201e+00,2.626148518e-03
1.162309885e+00,2.622709842e-03
1.173049450e+00,2.619310049e-03
1.183789134e+00,2.615948208e-03
1.194528699e+00,2.612623153e-03
1.205268383e+00,2.609334653e-03
1.216007948e+00,2.606081776e-03
1.226747513e+00,2.602864290e-03
1.237487197e+00,2.599681029e-03
1.248226762e+00,2.596531296e-03
1.258966446e+00,2.593415091e-03
1.269706011e+00,2.590331482e-03
1.280445695e+00,2.587279771e-03
1.291185260e+00,2.584259259e-03
1.301924825e+00,2.581269713e-03
1.312664509e+00,2.578310668e-03
1.323404074e+00,2.575381426e-03
1.334143758e+00,2.572481288e-03
1.344883323e+00,2.569610020e-03
1.355623007e+00,2.566767391e-03
1.366362572e+00,2.563952468e-03
1.377102256e+00,2.561164554e-03
1.387841821e+00,2.558403648e-03
1.398581386e+00,2.555669518e-03
1.409321070e+00,2.552961698e-03
1.420060635e+00,2.550279023e-03
1.430800319e+00,2.547621727e-03
1.441539884e+00,2.544989344e-03
1.452279568e+00,2.542381641e-03
1.463019133e+00,2.539797919e-03
1.473758817e+00,2.537237946e-03
1.484498382e+00,2.534701023e-03
1.495237947e+00,2.532187616e-03
1.505977631e+00,2.529697027e-03
1.516717196e+00,2.527228557e-03
1.527456880e+00,2.524781972e-03
1.538196445e+00,2.522357274e-03
1.548936129e+00,2.519954462e-03
1.559675694e+00,2.517572604e-03
1.570415258e+00,2.515211701e-03
1.581154943e+00,2.512871288e-03
1.591894507e+00,2.510551596e-03
1.602634192e+00,2.508251928e-03
1.613373756e+00,2.505971817e-03
1.624113441e+00,2.503710100e-03
1.634853005e+00,2.501467243e-03
1.645592690e+00,2.499243710e-03
1.656332254e+00,2.497039502e-03
1.667071819e+00,2.494854620e-03
1.677811503e+00,2.492688596e-03
1.688551068e+00,2.490541432e-03
1.699290752e+00,2.488412894e-03
1.710030317e+00,2.486303216e-03
1.720770001e+00,2.484212164e-03
1.731509566e+00,2.482139738e-03
1.742249131e+00,2.480085474e-03
1.752988815e+00,2.478050301e-03
1.763728380e+00,2.476034220e-03
1.774468064e+00,2.474037465e-03
1.785207629e+00,2.472060500e-03
1.795947313e+00,2.470103791e-03
1.806686878e+00,2.468167339e-03
1.817426562e+00,2.466252539e-03
1.828166127e+00,2.464360092e-03
1.838905692e+00,2.462491160e-03
1.849645376e+00,2.460647374e-03
1.860384941e+00,2.458830364e-03
1.871124625e+00,2.457042923e-03
1.881864190e+00,2.455288311e-03
1.892603874e+00,2.453570720e-03
1.903343439e+00,2.451895038e-03
1.914083004e+00,2.450267784e-03
1.924822688e+00,2.448699670e-03
1.935562253e+00,2.447215840e-03
1.946301937e+00,2.445852384e-03
1.957041502e+00,2.444687299e-03
1.967781186e+00,2.443629550e-03
1.978520751e+00,2.443206031e-03
1.989260435e+00,2.441374119e-03
