# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
100           	1.531151e-03	2.394620e-02	2.332168e-02	7.518536e-03	1.204887e-03
101           	1.544137e-03	2.330844e-02	2.582228e-02	7.502374e-03	1.146814e-03
102           	1.563449e-03	2.261687e-02	2.684426e-02	7.480723e-03	1.089318e-03
103           	1.588403e-03	2.209677e-02	2.688560e-02	7.454759e-03	1.034958e-03
104           	1.615909e-03	2.178099e-02	2.725089e-02	7.424406e-03	9.836717e-04
105           	1.642536e-03	2.148272e-02	2.842894e-02	7.389072e-03	9.354489e-04
106           	1.668339e-03	2.119611e-02	3.025346e-02	7.349124e-03	8.890585e-04
107           	1.693365e-03	2.084686e-02	3.288124e-02	7.304527e-03	8.446180e-04
108           	1.720304e-03	2.047462e-02	3.649215e-02	7.255443e-03	8.021928e-04
109           	1.751958e-03	2.015123e-02	4.168735e-02	7.202063e-03	7.618164e-04
110           	1.783510e-03	1.983752e-02	5.015193e-02	7.144454e-03	7.252884e-04
111           	1.814055e-03	1.951174e-02	6.353299e-02	7.083031e-03	6.921972e-04
112           	1.843671e-03	1.931205e-02	7.470231e-02	7.017821e-03	6.637089e-04
113           	1.872356e-03	1.915141e-02	6.400522e-02	6.949373e-03	6.389321e-04
114           	1.901652e-03	1.880459e-02	5.531225e-02	6.877495e-03	6.188372e-04
115           	1.934588e-03	1.853487e-02	4.671836e-02	6.802465e-03	6.051201e-04
116           	1.967371e-03	1.836002e-02	4.055392e-02	6.724278e-03	5.975684e-04
117           	1.999004e-03	1.827881e-02	3.623218e-02	6.643483e-03	5.929695e-04
118           	2.029487e-03	1.818583e-02	3.221946e-02	6.560594e-03	5.916106e-04
119           	2.058825e-03	1.787826e-02	2.824510e-02	6.475911e-03	5.943581e-04
120           	2.087032e-03	1.748361e-02	2.457986e-02	6.389598e-03	5.982819e-04
121           	2.114120e-03	1.712546e-02	2.165311e-02	6.301796e-03	6.028927e-04
122           	2.140320e-03	1.688685e-02	1.925947e-02	6.212626e-03	6.089064e-04
123           	2.168078e-03	1.674361e-02	1.723858e-02	6.122198e-03	6.152138e-04
124           	2.195883e-03	1.657274e-02	1.578887e-02	6.030616e-03	6.217272e-04
125           	2.222349e-03	1.631459e-02	1.467013e-02	5.937979e-03	6.283923e-04
126           	2.247498e-03	1.603101e-02	1.376076e-02	5.844384e-03	6.352125e-04
127           	2.271355e-03	1.576362e-02	1.282226e-02	5.749930e-03	6.426774e-04
128           	2.293945e-03	1.555272e-02	1.212385e-02	5.654714e-03	6.501376e-04
129           	2.315293e-03	1.539180e-02	1.151993e-02	5.558835e-03	6.575292e-04
130           	2.335424e-03	1.520970e-02	1.096045e-02	5.462393e-03	6.648204e-04
131           	2.354367e-03	1.500785e-02	1.059501e-02	5.365486e-03	6.719868e-04
132           	2.372150e-03	1.485791e-02	1.156569e-02	5.268202e-03	6.791736e-04
133           	2.388820e-03	1.472987e-02	1.346401e-02	5.170532e-03	6.867146e-04
134           	2.404466e-03	1.464608e-02	1.454404e-02	5.072244e-03	6.941875e-04
135           	2.419115e-03	1.444310e-02	1.430422e-02	4.973544e-03	7.015405e-04
136           	2.432760e-03	1.413164e-02	1.251042e-02	4.874791e-03	7.086565e-04
137           	2.445405e-03	1.388162e-02	1.075029e-02	4.776221e-03	7.155487e-04
138           	2.457079e-03	1.378874e-02	9.318462e-03	4.677898e-03	7.222803e-04
139           	2.467810e-03	1.374111e-02	8.398983e-03	4.579894e-03	7.287387e-04
140           	2.477623e-03	1.360254e-02	7.960019e-03	4.482283e-03	7.349051e-04
141           	2.486546e-03	1.342243e-02	7.737194e-03	4.385137e-03	7.407786e-04
142           	2.494602e-03	1.328109e-02	7.447131e-03	4.288528e-03	7.463599e-04
143           	2.501815e-03	1.319371e-02	7.170026e-03	4.192523e-03	7.516505e-04
144           	2.508210e-03	1.312128e-02	7.375182e-03	4.097176e-03	7.570974e-04
145           	2.513819e-03	1.302534e-02	8.267245e-03	4.002208e-03	7.630262e-04
146           	2.518670e-03	1.298553e-02	9.234696e-03	3.907658e-03	7.689518e-04
147           	2.522792e-03	1.297550e-02	9.406892e-03	3.813363e-03	7.745567e-04
148           	2.526199e-03	1.299883e-02	8.640384e-03	3.719895e-03	7.798376e-04
149           	2.528910e-03	1.293014e-02	7.692327e-03	3.627436e-03	7.848069e-04
150           	2.530947e-03	1.279296e-02	7.010829e-03	3.536007e-03	7.894479e-04
151           	2.532332e-03	1.266577e-02	6.675487e-03	3.445669e-03	7.937933e-04
152           	2.533086e-03	1.260184e-02	6.482124e-03	3.356486e-03	7.978757e-04
153           	2.533229e-03	1.258875e-02	6.401033e-03	3.268481e-03	8.016874e-04
154           	2.532780e-03	1.257631e-02	6.217994e-03	3.181655e-03	8.052034e-04
155           	2.531757e-03	1.253588e-02	6.018620e-03	3.096067e-03	8.084740e-04
156           	2.530178e-03	1.246394e-02	5.874463e-03	3.011738e-03	8.115064e-04
157           	2.528058e-03	1.239788e-02	5.787566e-03	2.928638e-03	8.142648e-04
158           	2.525415e-03	1.239974e-02	6.724270e-03	2.846681e-03	8.166783e-04
159           	2.522393e-03	1.243223e-02	9.105563e-03	2.765188e-03	8.188785e-04
160           	2.519049e-03	1.247294e-02	1.149915e-02	2.684066e-03	8.208309e-04
161           	2.515475e-03	1.237897e-02	1.083988e-02	2.602948e-03	8.224813e-04
162           	2.511488e-03	1.239771e-02	9.493532e-03	2.523489e-03	8.239005e-04
163           	2.507093e-03	1.235784e-02	8.789559e-03	2.445622e-03	8.250855e-04
164           	2.502155e-03	1.223178e-02	9.274410e-03	2.368880e-03	8.260350e-04
165           	2.496639e-03	1.217943e-02	9.906662e-03	2.292772e-03	8.267453e-04
166           	2.490659e-03	1.226070e-02	9.137140e-03	2.217674e-03	8.272055e-04
