x_m,p_kinematic_m2_s2
3.115000e-01,-2.343359e-16
3.125000e-01,-2.325368e-16
3.135000e-01,-2.310725e-16
3.145000e-01,-2.296772e-16
3.155000e-01,-2.285043e-16
3.165000e-01,-2.280415e-16
3.175000e-01,-2.283118e-16
3.185000e-01,-2.281179e-16
3.195000e-01,-2.269992e-16
3.205000e-01,-2.253815e-16
3.215000e-01,-2.232901e-16
3.225000e-01,-2.209858e-16
3.235000e-01,-2.189328e-16
3.245000e-01,-2.179960e-16
3.255000e-01,-2.179309e-16
3.265000e-01,-2.169334e-16
3.275000e-01,-2.161448e-16
3.285000e-01,-2.169456e-16
3.295000e-01,-2.170368e-16
3.305000e-01,-2.159754e-16
3.315000e-01,-2.148969e-16
3.325000e-01,-2.136468e-16
3.335000e-01,-2.128333e-16
3.345000e-01,-2.121008e-16
3.355000e-01,-2.115018e-16
3.365000e-01,-2.119061e-16
3.375000e-01,-2.115683e-16
3.385000e-01,-2.100654e-16
3.395000e-01,-2.091254e-16
3.405000e-01,-2.086248e-16
3.415000e-01,-2.079929e-16
3.425000e-01,-2.065134e-16
3.435000e-01,-2.044990e-16
3.445000e-01,-2.041871e-16
3.455000e-01,-2.043369e-16
3.465000e-01,-2.028911e-16
3.475000e-01,-2.014868e-16
3.485000e-01,-2.011729e-16
3.495000e-01,-2.006032e-16
3.505000e-01,-1.990117e-16
3.515000e-01,-1.974512e-16
3.525000e-01,-1.968639e-16
3.535000e-01,-1.958439e-16
3.545000e-01,-1.931284e-16
3.555000e-01,-1.914245e-16
3.565000e-01,-1.916234e-16
3.575000e-01,-1.911912e-16
3.585000e-01,-1.894981e-16
3.595000e-01,-1.875559e-16
3.605000e-01,-1.869568e-16
3.615000e-01,-1.874257e-16
3.625000e-01,-1.869848e-16
3.635000e-01,-1.857427e-16
3.645000e-01,-1.854181e-16
3.655000e-01,-1.860175e-16
3.665000e-01,-1.853736e-16
3.675000e-01,-1.833669e-16
3.685000e-01,-1.822296e-16
3.695000e-01,-1.815197e-16
3.705000e-01,-1.798829e-16
3.715000e-01,-1.781362e-16
3.725000e-01,-1.765266e-16
3.735000e-01,-1.745643e-16
3.745000e-01,-1.722521e-16
3.755000e-01,-1.706463e-16
3.765000e-01,-1.703000e-16
3.775000e-01,-1.692913e-16
3.785000e-01,-1.666937e-16
3.795000e-01,-1.644007e-16
3.805000e-01,-1.642074e-16
3.815000e-01,-1.647839e-16
3.825000e-01,-1.636162e-16
3.835000e-01,-1.612641e-16
3.845000e-01,-1.596792e-16
3.855000e-01,-1.586321e-16
